Artist,Title,Duration,Genre,BPM,Key,Time,Role,Crowd,Notes
"Miss Kittin, Golden Boy, Tenebrio",Rippin' Kittin (Original Mix),9:26,Indie Dance,122.00,2A,,,,
"Moi Je, Antoine Lartigue, Simon Bérard, Loïc Lassablière, Babil Lachheb",Profite (Kazy Lambist Remix),3:18,Nu Disco / Disco,122.00,4A,,,,
oscar med k,Make Me Feel,4:37,,125.00,11A,,,,
Polo & Pan,Canopée (Original Mix),4:36,Electronica,96.00,4A,,,,
Rampue,Sonne Park und Sterni (Original Mix),5:26,Deep House,116.00,1A,,,,
sometimes jah,inner city grooves,3:56,,123.00,9A,,,,
The Visionary,My Life Is Music (Kiko Navarro Classic Vibe),6:47,House,120.00,1A,,,,
Kllo,Walls To Build (Mall Grab Remix),6:16,Breaks / Breakbeat / UK Bass,124.00,3A,,,,
emosplash,Расскажи мне все,3:19,,125.00,1A,,,,
Hitty,House FM (Extended Version),6:00,Electro (Classic / Detroit / Modern),133.00,8A,,,,
Kronol & Funk Fox,Superfine (Kronol Remix),3:57,,124.00,10A,,,,
Pìjus,Everybody Knows,3:15,,130.00,11A,,,,
rekordbox,House 1,0:01,Loop Samples,123.00,8A,,,,
rekordbox,House 2,0:01,Loop Samples,125.00,6A,,,,
rekordbox,Techno 1,0:01,Loop Samples,136.00,4A,,,,
rekordbox,Breaks 1,0:07,Loop Samples,130.00,7A,,,,
rekordbox,House 3,0:13,Loop Samples,140.00,1A,,,,
rekordbox,House 4,0:12,Loop Samples,150.00,1A,,,,
rekordbox,Breaks 2,0:13,Loop Samples,140.00,8A,,,,
rekordbox,Breaks 3,0:07,Loop Samples,121.00,8A,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
,,0:00,,,,,,,
